,id,show,episode_title,air_date,rating,number_of_ratings,episode_number,season,imdb_episode_id,sizing
20,2649,Atlanta,The Big Bang,2016-09-06,8.3,1926,1,1,tt5689816,12.27645237661628
19,2650,Atlanta,Streets on Lock,2016-09-06,8.6,1769,2,1,tt5689976,11.275723911855764
18,2651,Atlanta,Go for Broke,2016-09-13,8.3,1533,3,1,tt5689986,9.771444181387725
17,2652,Atlanta,The Streisand Effect,2016-09-20,8.3,1482,4,1,tt5689992,9.446366782006919
16,2653,Atlanta,Nobody Beats the Biebs,2016-09-27,8.1,1443,5,1,tt5691444,9.197778182480423
15,2654,Atlanta,Value,2016-10-04,8.0,1456,6,1,tt5711660,9.280641048989256
14,2655,Atlanta,B.A.N.,2016-10-11,9.3,3035,7,1,tt5699790,19.345292296485155
13,2656,Atlanta,The Club,2016-10-18,8.8,1485,8,1,tt5721504,9.465488981970497
12,2657,Atlanta,Juneteenth,2016-10-25,8.5,1361,9,1,tt5853556,8.675104716809324
11,2658,Atlanta,The Jacket,2016-11-01,8.7,1344,10,1,tt5776870,8.566745583682389
10,2659,Atlanta,Alligator Man,2018-03-01,9.0,1587,11,2,tt6113298,10.115643780732107
9,2660,Atlanta,Sportin' Waves,2018-03-08,8.4,1151,12,2,tt7550700,7.336550719358951
8,2661,Atlanta,Money Bag Shawty,2018-03-15,8.5,1147,13,2,tt7403926,7.311054452740848
7,2662,Atlanta,Helen,2018-03-22,8.1,1190,14,2,tt7631468,7.585139318885449
6,2663,Atlanta,Barbershop,2018-03-29,9.1,1694,15,2,tt7599684,10.797668912766344
5,2664,Atlanta,Teddy Perkins,2018-04-05,9.7,3806,16,2,tt7629358,24.259697687124383
4,2665,Atlanta,Champagne Papi,2018-04-12,7.6,1135,17,2,tt7625832,7.234565652886541
3,2666,Atlanta,Woods,2018-04-19,8.9,1250,18,2,tt7604296,7.967583318156985
2,2667,Atlanta,North of the Border,2018-04-26,9.0,1175,19,2,tt7709702,7.489528319067565
1,2668,Atlanta,FUBU,2018-05-03,8.9,1119,20,2,tt7709816,7.132580586414132
0,2669,Atlanta,Crabs in a Barrel,2018-05-10,8.8,858,21,2,tt7724458,5.468949189582953
