,id,show,episode_title,air_date,rating,number_of_ratings,episode_number,season,imdb_episode_id,sizing
0,3338,Friends,The One with the Sharks,2002-10-17,8.2,2341,198,9,tt0583645,8.211227204494449
1,3337,Friends,The One with the Pediatrician,2002-10-10,8.3,2310,197,9,tt0583633,8.102492457232882
2,3336,Friends,The One Where Emma Cries,2002-10-03,8.5,2500,196,9,tt0583450,8.768931230771518
3,3335,Friends,The One Where No One Proposes,2002-09-26,8.6,2459,195,9,tt0583463,8.625120758586865
4,3334,Friends,The One Where Rachel Has a Baby: Part 2,2002-05-16,8.9,2680,194,8,tt0583472,9.400294279387067
5,3333,Friends,The One Where Rachel Has a Baby: Part 1,2002-05-16,8.8,2456,193,8,tt0583471,8.61459804110994
6,3332,Friends,The One Where Rachel Is Late,2002-05-09,8.4,2240,192,8,tt0583473,7.85696238277128
7,3331,Friends,The One with the Cooking Class,2002-05-02,8.2,2278,191,8,tt0583592,7.990250137479007
8,3330,Friends,The One with the Baby Shower,2002-04-25,8.3,2282,190,8,tt0583573,8.004280427448242
9,3329,Friends,The One with Joey's Interview,2002-04-04,7.5,2362,189,8,tt0583527,8.28488622683293
10,3328,Friends,The One in Massapequa,2002-03-28,8.2,2291,188,8,tt0583499,8.03584857987902
11,3327,Friends,The One with the Tea Leaves,2002-03-07,8.2,2273,187,8,tt0583651,7.972712275017464
12,3326,Friends,The One Where Joey Tells Rachel,2002-02-28,8.3,2267,186,8,tt0583458,7.951666840063613
13,3325,Friends,The One with the Birthing Video,2002-02-07,8.4,2223,185,8,tt0583578,7.797333650402033
14,3324,Friends,The One with the Secret Closet,2002-01-31,8.3,2240,184,8,tt0583644,7.85696238277128
15,3323,Friends,The One Where Chandler Takes a Bath,2002-01-17,8.6,2353,183,8,tt0583446,8.253318074402152
16,3322,Friends,The One Where Joey Dates Rachel,2002-01-10,8.6,2422,182,8,tt0583454,8.495340576371447
17,3321,Friends,The One with Ross's Step Forward,2001-12-13,8.1,2222,181,8,tt0583594,7.793826077909724
18,3320,Friends,The One with Monica's Boots,2001-12-06,8.1,2341,180,8,tt0583533,8.211227204494449
19,3319,Friends,The One with the Rumor,2001-11-22,9.3,4596,179,8,tt0583642,16.12080317465036
20,3318,Friends,The One with the Stripper,2001-11-15,8.8,2611,178,8,tt0583650,9.158271777417772
21,3317,Friends,The One with the Stain,2001-11-08,8.0,2335,177,8,tt0583648,8.190181769540597
22,3316,Friends,The One with the Halloween Party,2001-11-01,8.6,2519,176,8,tt0583612,8.835575108125381
23,3315,Friends,The One with Rachel's Date,2001-10-25,8.2,2296,175,8,tt0583548,8.053386442340562
24,3314,Friends,The One with the Videotape,2001-10-18,9.3,3479,174,8,tt0583658,12.202844700741643
25,3313,Friends,The One Where Rachel Tells...,2001-10-11,8.7,2415,173,8,tt0583476,8.470787568925285
26,3312,Friends,The One with the Red Sweater,2001-10-04,9.1,2904,172,8,tt0583638,10.185990517664194
27,3311,Friends,The One After I Do,2001-09-27,8.7,2526,171,8,tt0583435,8.860128115571541
28,3310,Friends,The One with Monica and Chandler's Wedding: Part 2,2001-05-17,9.1,3023,170,7,tt0583532,10.60339164424892
29,3309,Friends,The One with Monica and Chandler's Wedding: Part 1,2001-05-17,8.9,2719,169,7,tt0583531,9.537089606587102
30,3308,Friends,The One with Chandler's Dad,2001-05-10,8.5,2406,168,7,tt0583516,8.43921941649451
31,3307,Friends,The One with the Vows,2001-05-03,7.5,2390,167,7,tt0756484,8.38309825661757
32,3306,Friends,The One with Rachel's Big Kiss,2001-04-26,8.5,2463,166,7,tt0583545,8.639151048556098
33,3305,Friends,The One with Ross and Monica's Cousin,2001-04-19,8.7,2698,165,7,tt0583556,9.463430584248622
34,3304,Friends,The One with Joey's Award,2001-03-29,8.5,2375,164,7,tt0583522,8.330484669232941
35,3303,Friends,The One with the Cheap Wedding Dress,2001-03-15,8.4,2336,163,7,tt0583589,8.193689342032906
36,3302,Friends,The One with the Truth About London,2001-02-22,8.7,2493,162,7,tt0583655,8.744378223325358
37,3301,Friends,The One with Joey's New Brain,2001-02-15,8.5,2464,161,7,tt0583528,8.642658621048408
