,id,show,episode_title,air_date,rating,number_of_ratings,episode_number,season,imdb_episode_id,sizing
72,3701,Game Of Thrones,Winter Is Coming,2011-04-18,9.1,36141,1,1,tt1480055,8.042046269246338
71,3702,Game Of Thrones,The Kingsroad,2011-04-25,8.8,27379,2,1,tt1668746,6.092337921078429
70,3703,Game Of Thrones,Lord Snow,2011-05-02,8.7,25883,3,1,tt1829962,5.759450031457431
69,3704,Game Of Thrones,"Cripples, Bastards, and Broken Things",2011-05-09,8.8,24516,4,1,tt1829963,5.455267046756958
68,3705,Game Of Thrones,The Wolf and the Lion,2011-05-16,9.1,25558,5,1,tt1829964,5.687131472549125
67,3706,Game Of Thrones,A Golden Crown,2011-05-23,9.2,25289,6,1,tt1837862,5.627273957637327
66,3707,Game Of Thrones,You Win or You Die,2011-05-30,9.3,25797,7,1,tt1837863,5.740313428177078
65,3708,Game Of Thrones,The Pointy End,2011-06-06,9.1,23907,8,1,tt1837864,5.319753193294934
64,3709,Game Of Thrones,Baelor,2011-06-13,9.6,33878,9,1,tt1851398,7.53848658060174
63,3710,Game Of Thrones,Fire and Blood,2011-06-20,9.5,29723,10,1,tt1851397,6.613921619789406
62,3711,Game Of Thrones,The North Remembers,2012-04-02,8.9,23224,11,2,tt1971833,5.167772960266096
61,3712,Game Of Thrones,The Night Lands,2012-04-09,8.6,21935,12,2,tt2069318,4.880946429703617
60,3713,Game Of Thrones,What Is Dead May Never Die,2012-04-16,8.9,21677,13,2,tt2070135,4.823536619862563
59,3714,Game Of Thrones,Garden of Bones,2012-04-23,8.9,20940,14,2,tt2069319,4.659540380122806
58,3715,Game Of Thrones,The Ghost of Harrenhal,2012-04-30,8.9,21110,15,2,tt2074658,4.697368549397919
57,3716,Game Of Thrones,The Old Gods and the New,2012-05-07,9.1,22099,16,2,tt2085238,4.917439487121962
56,3717,Game Of Thrones,A Man Without Honor,2012-05-14,9.0,21522,17,2,tt2085239,4.7890462302293715
55,3718,Game Of Thrones,The Prince of Winterfell,2012-05-21,8.9,21254,18,2,tt2085240,4.729411233960368
54,3719,Game Of Thrones,Blackwater,2012-05-28,9.7,37310,19,2,tt2084342,8.302170562673442
53,3720,Game Of Thrones,Valar Morghulis,2012-06-04,9.5,26374,20,2,tt2112510,5.86870668506967
52,3721,Game Of Thrones,Valar Dohaeris,2013-04-01,8.9,23278,21,3,tt2178782,5.179788966977014
51,3722,Game Of Thrones,"Dark Wings, Dark Words",2013-04-08,8.7,20995,22,3,tt2178772,4.671778905476519
50,3723,Game Of Thrones,Walk of Punishment,2013-04-15,8.9,21184,23,3,tt2178802,4.713834928964734
49,3724,Game Of Thrones,And Now His Watch Is Ended,2013-04-22,9.6,29074,24,3,tt2178798,6.46950702061559
48,3725,Game Of Thrones,Kissed by Fire,2013-04-29,9.1,21574,25,3,tt2178788,4.8006171996547
47,3726,Game Of Thrones,The Climb,2013-05-06,8.9,21449,26,3,tt2178812,4.772802369305352
46,3727,Game Of Thrones,The Bear and the Maiden Fair,2013-05-13,8.8,20700,27,3,tt2178814,4.6061359058520575
45,3728,Game Of Thrones,Second Sons,2013-05-20,9.1,21275,28,3,tt2178806,4.734084125459059
44,3729,Game Of Thrones,The Rains of Castamere,2013-06-03,9.9,82213,29,3,tt2178784,18.29392518008769
43,3730,Game Of Thrones,Mhysa,2013-06-10,9.2,24148,30,3,tt2178796,5.373380186208477
