,id,show,episode_title,air_date,rating,number_of_ratings,episode_number,season,imdb_episode_id
0,2263,Better Call Saul,Winner,2018-10-08,9.60,4594,40,4,tt7074030
1,2262,Better Call Saul,Wiedersehen,2018-10-01,9.20,3000,39,4,tt7074032
2,2261,Better Call Saul,Coushatta,2018-09-24,9.00,2919,38,4,tt7074022
3,2260,Better Call Saul,Something Stupid,2018-09-17,8.60,2727,37,4,tt7074020
4,2259,Better Call Saul,Piñata,2018-09-10,8.70,2828,36,4,tt7074012
5,2258,Better Call Saul,Quite a Ride,2018-09-03,8.80,2992,35,4,tt7074010
6,2257,Better Call Saul,Talk,2018-08-27,8.40,2892,34,4,tt7074006
7,2256,Better Call Saul,Something Beautiful,2018-08-20,8.70,3049,33,4,tt7074002
8,2255,Better Call Saul,Breathe,2018-08-13,8.90,3479,32,4,tt7073998
9,2254,Better Call Saul,Smoke,2018-08-06,8.40,3602,31,4,tt7073996
10,2253,Better Call Saul,Lantern,2017-06-19,9.20,4529,30,3,tt5570804
11,2252,Better Call Saul,Fall,2017-06-12,9.00,3652,29,3,tt5719544
12,2251,Better Call Saul,Slip,2017-06-05,8.70,3418,28,3,tt5719546
13,2250,Better Call Saul,Expenses,2017-05-22,8.50,3494,27,3,tt5719542
14,2249,Better Call Saul,Off Brand,2017-05-15,8.70,3734,26,3,tt5719540
15,2248,Better Call Saul,Chicanery,2017-05-08,9.70,8695,25,3,tt5719536
16,2247,Better Call Saul,Sabrosito,2017-05-01,9.10,4161,24,3,tt5719534
17,2246,Better Call Saul,Sunk Costs,2017-04-24,8.60,3781,23,3,tt5719532
18,2245,Better Call Saul,Witness,2017-04-17,9.10,4463,22,3,tt5579594
19,2244,Better Call Saul,Mabel,2017-04-10,8.30,4482,21,3,tt5554490
20,2243,Better Call Saul,Klick,2016-04-18,9.10,4552,20,2,tt4462690
21,2242,Better Call Saul,Nailed,2016-04-11,9.40,5214,19,2,tt4462688
22,2241,Better Call Saul,Fifi,2016-04-04,8.60,3824,18,2,tt4462686
23,2240,Better Call Saul,Inflatable,2016-03-28,8.60,3852,17,2,tt4462684
24,2239,Better Call Saul,Bali Ha'i,2016-03-21,8.60,3892,16,2,tt4462680
25,2238,Better Call Saul,Rebecca,2016-03-14,8.20,3985,15,2,tt4462682
26,2237,Better Call Saul,Gloves Off,2016-03-07,9.10,4498,14,2,tt4462678
27,2236,Better Call Saul,Amarillo,2016-02-29,8.50,4114,13,2,tt4462676
28,2235,Better Call Saul,Cobbler,2016-02-22,8.70,4429,12,2,tt4462674
29,2234,Better Call Saul,Switch,2016-02-15,8.50,5156,11,2,tt3824148
30,2233,Better Call Saul,Marco,2015-04-06,8.80,6427,10,1,tt3895288
31,2232,Better Call Saul,Pimento,2015-03-30,9.50,8078,9,1,tt3895286
32,2231,Better Call Saul,RICO,2015-03-23,8.90,5968,8,1,tt3895284
33,2230,Better Call Saul,Bingo,2015-03-16,8.80,6105,7,1,tt3884286
34,2229,Better Call Saul,Five-O,2015-03-09,9.50,10856,6,1,tt3866650
35,2228,Better Call Saul,Alpine Shepherd Boy,2015-03-02,8.30,6523,5,1,tt3876380
36,2227,Better Call Saul,Hero,2015-02-23,8.70,7019,4,1,tt3864892
37,2226,Better Call Saul,Nacho,2015-02-16,8.90,8124,3,1,tt3858672
38,2225,Better Call Saul,Mijo,2015-02-09,9.10,9768,2,1,tt3857028
39,2224,Better Call Saul,Uno,2015-02-08,8.70,10616,1,1,tt3464768
