show,episode_title,episode_air_date,episode_rating,episode_number_of_ratings,episode_id,season_number,episode_number
Breaking Bad,Pilot,2008-01-20,8.9,19569,tt0959621,1,1
Breaking Bad,Cat's in the Bag...,2008-01-27,8.7,13770,tt1054724,1,2
Breaking Bad,...And the Bag's in the River,2008-02-10,8.7,13343,tt1054725,1,3
Breaking Bad,Cancer Man,2008-02-17,8.2,12996,tt1054726,1,4
Breaking Bad,Gray Matter,2008-02-24,8.3,12702,tt1054727,1,5
Breaking Bad,Crazy Handful of Nothin',2008-03-02,9.2,14640,tt1054728,1,6
Breaking Bad,A No-Rough-Stuff-Type Deal,2008-03-09,8.8,12928,tt1054729,1,7
Breaking Bad,Seven Thirty-Seven,2009-03-08,8.7,11499,tt1232244,2,8
Breaking Bad,Grilled,2009-03-15,9.2,13564,tt1232249,2,9
Breaking Bad,Bit by a Dead Bee,2009-03-22,8.3,11208,tt1232250,2,10
Breaking Bad,Down,2009-03-29,8.1,11349,tt1232251,2,11
Breaking Bad,Breakage,2009-04-05,8.3,10996,tt1232252,2,12
Breaking Bad,Peekaboo,2009-04-12,8.8,12151,tt1232253,2,13
Breaking Bad,Negro Y Azul,2009-04-19,8.7,10870,tt1232254,2,14
Breaking Bad,Better Call Saul,2009-04-26,9.0,12795,tt1232255,2,15
Breaking Bad,4 Days Out,2009-05-03,8.9,12548,tt1232256,2,16
Breaking Bad,Over,2009-05-10,8.6,10662,tt1232245,2,17
Breaking Bad,Mandala,2009-05-17,8.8,11090,tt1232246,2,18
Breaking Bad,Phoenix,2009-05-24,9.1,12486,tt1232247,2,19
Breaking Bad,ABQ,2009-05-31,9.1,12553,tt1232248,2,20
Breaking Bad,No Más,2010-03-21,8.6,10602,tt1528116,3,21
Breaking Bad,Caballo sin Nombre,2010-03-28,8.7,10221,tt1615186,3,22
Breaking Bad,I.F.T.,2010-04-04,8.4,10287,tt1615187,3,23
Breaking Bad,Green Light,2010-04-11,8.1,10546,tt1615554,3,24
Breaking Bad,Más,2010-04-18,8.7,9927,tt1615555,3,25
Breaking Bad,Sunset,2010-04-25,9.2,12044,tt1615556,3,26
Breaking Bad,One Minute,2010-05-02,9.5,15018,tt1615944,3,27
Breaking Bad,I See You,2010-05-09,8.8,10330,tt1615557,3,28
Breaking Bad,Kafkaesque,2010-05-16,8.4,10268,tt1615558,3,29
Breaking Bad,Fly,2010-05-23,7.6,17995,tt1615550,3,30
Breaking Bad,Abiquiu,2010-05-30,8.5,10143,tt1615551,3,31
Breaking Bad,Half Measures,2010-06-06,9.4,14423,tt1615552,3,32
Breaking Bad,Full Measure,2010-06-13,9.5,16289,tt1615553,3,33
Breaking Bad,Box Cutter,2011-07-17,9.1,13107,tt1683084,4,34
Breaking Bad,Thirty-Eight Snub,2011-07-24,8.2,10740,tt1683089,4,35
Breaking Bad,Open House,2011-07-31,7.9,10845,tt1683090,4,36
Breaking Bad,Bullet Points,2011-08-07,8.7,10008,tt1683091,4,37
Breaking Bad,Shotgun,2011-08-14,8.7,10046,tt1683092,4,38
Breaking Bad,Cornered,2011-08-21,8.5,10177,tt1683093,4,39
Breaking Bad,Problem Dog,2011-08-28,8.8,10661,tt1683094,4,40
Breaking Bad,Hermanos,2011-09-04,9.1,12065,tt1683095,4,41
Breaking Bad,Bug,2011-09-11,8.8,10750,tt1683096,4,42
Breaking Bad,Salud,2011-09-18,9.5,15438,tt1683085,4,43
Breaking Bad,Crawl Space,2011-09-25,9.5,17736,tt1683086,4,44
Breaking Bad,End Times,2011-10-02,9.4,13656,tt1683087,4,45
Breaking Bad,Face Off,2011-10-09,9.8,33439,tt1683088,4,46
Breaking Bad,Live Free or Die,2012-07-15,9.2,15695,tt2081647,5,47
Breaking Bad,Madrigal,2012-07-22,8.8,12952,tt2301457,5,48
Breaking Bad,Hazard Pay,2012-07-29,8.8,12489,tt2301459,5,49
Breaking Bad,Fifty-One,2012-08-05,8.8,12566,tt2301461,5,50
Breaking Bad,Dead Freight,2012-08-12,9.5,19185,tt2301463,5,51
Breaking Bad,Buyout,2012-08-19,8.8,12918,tt2301465,5,52
Breaking Bad,Say My Name,2012-08-26,9.4,16643,tt2301467,5,53
Breaking Bad,Gliding Over All,2012-09-02,9.5,17643,tt2301469,5,54
Breaking Bad,Blood Money,2013-08-11,9.4,17166,tt2301471,5,55
Breaking Bad,Buried,2013-08-18,9.0,14707,tt2301443,5,56
Breaking Bad,Confessions,2013-08-25,9.5,18430,tt2301445,5,57
Breaking Bad,Rabid Dog,2013-09-01,8.9,15374,tt2301447,5,58
Breaking Bad,To'hajiilee,2013-09-08,9.7,26568,tt2301449,5,59
Breaking Bad,Ozymandias,2013-09-15,9.9,100699,tt2301451,5,60
Breaking Bad,Granite State,2013-09-22,9.5,26743,tt2301453,5,61
Breaking Bad,Felina,2013-09-29,9.9,72551,tt2301455,5,62
