show,episode_title,episode_air_date,episode_rating,episode_number_of_ratings,episode_id,season_number,episode_number
Game Of Thrones,Winter Is Coming,2011-04-17,9.1,35753,tt1480055,1,1
Game Of Thrones,The Kingsroad,2011-04-24,8.8,27077,tt1668746,1,2
Game Of Thrones,Lord Snow,2011-05-01,8.7,25578,tt1829962,1,3
Game Of Thrones,"Cripples, Bastards, and Broken Things",2011-05-08,8.8,24229,tt1829963,1,4
Game Of Thrones,The Wolf and the Lion,2011-05-15,9.1,25273,tt1829964,1,5
Game Of Thrones,A Golden Crown,2011-05-22,9.2,25004,tt1837862,1,6
Game Of Thrones,You Win or You Die,2011-05-29,9.3,25512,tt1837863,1,7
Game Of Thrones,The Pointy End,2011-06-05,9.1,23635,tt1837864,1,8
Game Of Thrones,Baelor,2011-06-12,9.6,33503,tt1851398,1,9
Game Of Thrones,Fire and Blood,2011-06-19,9.5,29402,tt1851397,1,10
Game Of Thrones,The North Remembers,2012-04-01,8.9,22977,tt1971833,2,11
Game Of Thrones,The Night Lands,2012-04-08,8.6,21692,tt2069318,2,12
Game Of Thrones,What Is Dead May Never Die,2012-04-15,8.9,21441,tt2070135,2,13
Game Of Thrones,Garden of Bones,2012-04-22,8.9,20704,tt2069319,2,14
Game Of Thrones,The Ghost of Harrenhal,2012-04-29,8.9,20872,tt2074658,2,15
Game Of Thrones,The Old Gods and the New,2012-05-06,9.1,21868,tt2085238,2,16
Game Of Thrones,A Man Without Honor,2012-05-13,9.0,21288,tt2085239,2,17
Game Of Thrones,The Prince of Winterfell,2012-05-20,8.9,21019,tt2085240,2,18
Game Of Thrones,Blackwater,2012-05-27,9.7,36980,tt2084342,2,19
Game Of Thrones,Valar Morghulis,2012-06-03,9.5,26120,tt2112510,2,20
Game Of Thrones,Valar Dohaeris,2013-03-31,8.9,23054,tt2178782,3,21
Game Of Thrones,"Dark Wings, Dark Words",2013-04-07,8.7,20770,tt2178772,3,22
Game Of Thrones,Walk of Punishment,2013-04-14,8.9,20951,tt2178802,3,23
Game Of Thrones,And Now His Watch Is Ended,2013-04-21,9.6,28801,tt2178798,3,24
Game Of Thrones,Kissed by Fire,2013-04-28,9.1,21337,tt2178788,3,25
Game Of Thrones,The Climb,2013-05-05,8.9,21212,tt2178812,3,26
Game Of Thrones,The Bear and the Maiden Fair,2013-05-12,8.8,20460,tt2178814,3,27
Game Of Thrones,Second Sons,2013-05-19,9.1,21050,tt2178806,3,28
Game Of Thrones,The Rains of Castamere,2013-06-02,9.9,81525,tt2178784,3,29
Game Of Thrones,Mhysa,2013-06-09,9.2,23892,tt2178796,3,30
Game Of Thrones,Two Swords,2014-04-06,9.1,27468,tt2816136,4,31
Game Of Thrones,The Lion and the Rose,2014-04-13,9.7,43441,tt2832378,4,32
Game Of Thrones,Breaker of Chains,2014-04-20,8.9,22932,tt2972426,4,33
Game Of Thrones,Oathkeeper,2014-04-27,8.9,21995,tt2972428,4,34
Game Of Thrones,First of His Name,2014-05-04,8.8,21254,tt3060856,4,35
Game Of Thrones,The Laws of Gods and Men,2014-05-11,9.7,39447,tt3060910,4,36
Game Of Thrones,Mockingbird,2014-05-18,9.2,23756,tt3060876,4,37
Game Of Thrones,The Mountain and the Viper,2014-06-01,9.7,43298,tt3060782,4,38
Game Of Thrones,The Watchers on the Wall,2014-06-08,9.6,36095,tt3060858,4,39
Game Of Thrones,The Children,2014-06-15,9.7,35555,tt3060860,4,40
Game Of Thrones,The Wars to Come,2015-04-12,8.6,24314,tt3658012,5,41
Game Of Thrones,The House of Black and White,2015-04-19,8.6,21262,tt3846626,5,42
Game Of Thrones,High Sparrow,2015-04-26,8.6,20545,tt3866836,5,43
Game Of Thrones,Sons of the Harpy,2015-05-03,8.8,21152,tt3866838,5,44
Game Of Thrones,Kill the Boy,2015-05-10,8.7,21412,tt3866840,5,45
Game Of Thrones,"Unbowed, Unbent, Unbroken",2015-05-17,8.1,24372,tt3866842,5,46
Game Of Thrones,The Gift,2015-05-24,9.1,23537,tt3866846,5,47
Game Of Thrones,Hardhome,2015-05-31,9.9,82619,tt3866850,5,48
Game Of Thrones,The Dance of Dragons,2015-06-07,9.5,35898,tt3866826,5,49
Game Of Thrones,Mother's Mercy,2015-06-14,9.1,34838,tt3866862,5,50
Game Of Thrones,The Red Woman,2016-04-24,8.6,33882,tt3658014,6,51
Game Of Thrones,Home,2016-05-01,9.4,40164,tt4077554,6,52
Game Of Thrones,Oathbreaker,2016-05-08,8.8,28171,tt4131606,6,53
Game Of Thrones,Book of the Stranger,2016-05-15,9.2,30344,tt4283016,6,54
Game Of Thrones,The Door,2016-05-22,9.7,60467,tt4283028,6,55
Game Of Thrones,Blood of My Blood,2016-05-29,8.5,27955,tt4283054,6,56
Game Of Thrones,The Broken Man,2016-06-05,8.7,27107,tt4283060,6,57
Game Of Thrones,No One,2016-06-12,8.5,31059,tt4283074,6,58
Game Of Thrones,Battle of the Bastards,2016-06-19,9.9,178157,tt4283088,6,59
Game Of Thrones,The Winds of Winter,2016-06-26,9.9,123042,tt4283094,6,60
Game Of Thrones,Dragonstone,2017-07-16,8.7,43771,tt5654088,7,61
Game Of Thrones,Stormborn,2017-07-23,9.0,37506,tt5655178,7,62
Game Of Thrones,The Queen's Justice,2017-07-30,9.3,39133,tt5775840,7,63
Game Of Thrones,The Spoils of War,2017-08-06,9.8,75245,tt5775846,7,64
Game Of Thrones,Eastwatch,2017-08-13,8.9,37188,tt5775854,7,65
Game Of Thrones,Beyond the Wall,2017-08-20,9.1,54679,tt5775864,7,66
Game Of Thrones,The Dragon and the Wolf,2017-08-27,9.5,54122,tt5775874,7,67
