,id,show,episode_title,air_date,rating,number_of_ratings,episode_number,season,imdb_episode_id
0,1131,Breaking Bad,Felina,2013-09-29,9.90,72781,62,5,tt2301455
1,1130,Breaking Bad,Granite State,2013-09-22,9.50,26801,61,5,tt2301453
2,1129,Breaking Bad,Ozymandias,2013-09-15,9.90,100873,60,5,tt2301451
3,1128,Breaking Bad,To'hajiilee,2013-09-08,9.70,26623,59,5,tt2301449
4,1127,Breaking Bad,Rabid Dog,2013-09-01,8.90,15424,58,5,tt2301447
5,1126,Breaking Bad,Confessions,2013-08-25,9.50,18478,57,5,tt2301445
6,1125,Breaking Bad,Buried,2013-08-18,9.00,14751,56,5,tt2301443
7,1124,Breaking Bad,Blood Money,2013-08-11,9.40,17209,55,5,tt2301471
8,1123,Breaking Bad,Gliding Over All,2012-09-02,9.50,17687,54,5,tt2301469
9,1122,Breaking Bad,Say My Name,2012-08-26,9.40,16684,53,5,tt2301467
10,1121,Breaking Bad,Buyout,2012-08-19,8.80,12955,52,5,tt2301465
11,1120,Breaking Bad,Dead Freight,2012-08-12,9.50,19232,51,5,tt2301463
12,1119,Breaking Bad,Fifty-One,2012-08-05,8.80,12598,50,5,tt2301461
13,1118,Breaking Bad,Hazard Pay,2012-07-29,8.80,12525,49,5,tt2301459
14,1117,Breaking Bad,Madrigal,2012-07-22,8.80,12988,48,5,tt2301457
15,1116,Breaking Bad,Live Free or Die,2012-07-15,9.20,15739,47,5,tt2081647
16,1115,Breaking Bad,Face Off,2011-10-09,9.80,33509,46,4,tt1683088
17,1114,Breaking Bad,End Times,2011-10-02,9.40,13685,45,4,tt1683087
18,1113,Breaking Bad,Crawl Space,2011-09-25,9.50,17769,44,4,tt1683086
19,1112,Breaking Bad,Salud,2011-09-18,9.50,15470,43,4,tt1683085
20,1111,Breaking Bad,Bug,2011-09-11,8.80,10778,42,4,tt1683096
21,1110,Breaking Bad,Hermanos,2011-09-04,9.10,12089,41,4,tt1683095
22,1109,Breaking Bad,Problem Dog,2011-08-28,8.80,10686,40,4,tt1683094
23,1108,Breaking Bad,Cornered,2011-08-21,8.50,10201,39,4,tt1683093
24,1107,Breaking Bad,Shotgun,2011-08-14,8.70,10072,38,4,tt1683092
25,1106,Breaking Bad,Bullet Points,2011-08-07,8.70,10030,37,4,tt1683091
26,1105,Breaking Bad,Open House,2011-07-31,7.90,10869,36,4,tt1683090
27,1104,Breaking Bad,Thirty-Eight Snub,2011-07-24,8.20,10767,35,4,tt1683089
28,1103,Breaking Bad,Box Cutter,2011-07-17,9.10,13136,34,4,tt1683084
29,1102,Breaking Bad,Full Measure,2010-06-13,9.50,16323,33,3,tt1615553
30,1101,Breaking Bad,Half Measures,2010-06-06,9.40,14453,32,3,tt1615552
31,1100,Breaking Bad,Abiquiu,2010-05-30,8.50,10170,31,3,tt1615551
32,1099,Breaking Bad,Fly,2010-05-23,7.60,18041,30,3,tt1615550
33,1098,Breaking Bad,Kafkaesque,2010-05-16,8.40,10293,29,3,tt1615558
34,1097,Breaking Bad,I See You,2010-05-09,8.80,10355,28,3,tt1615557
35,1096,Breaking Bad,One Minute,2010-05-02,9.50,15052,27,3,tt1615944
36,1095,Breaking Bad,Sunset,2010-04-25,9.20,12070,26,3,tt1615556
37,1094,Breaking Bad,Más,2010-04-18,8.70,9950,25,3,tt1615555
38,1093,Breaking Bad,Green Light,2010-04-11,8.10,10570,24,3,tt1615554
39,1092,Breaking Bad,I.F.T.,2010-04-04,8.40,10312,23,3,tt1615187
40,1091,Breaking Bad,Caballo sin Nombre,2010-03-28,8.70,10244,22,3,tt1615186
41,1090,Breaking Bad,No Más,2010-03-21,8.60,10627,21,3,tt1528116
42,1089,Breaking Bad,ABQ,2009-05-31,9.10,12577,20,2,tt1232248
43,1088,Breaking Bad,Phoenix,2009-05-24,9.10,12514,19,2,tt1232247
44,1087,Breaking Bad,Mandala,2009-05-17,8.80,11118,18,2,tt1232246
45,1086,Breaking Bad,Over,2009-05-10,8.60,10685,17,2,tt1232245
46,1085,Breaking Bad,4 Days Out,2009-05-03,8.90,12577,16,2,tt1232256
47,1084,Breaking Bad,Better Call Saul,2009-04-26,9.00,12825,15,2,tt1232255
48,1083,Breaking Bad,Negro Y Azul,2009-04-19,8.70,10898,14,2,tt1232254
49,1082,Breaking Bad,Peekaboo,2009-04-12,8.80,12179,13,2,tt1232253
50,1081,Breaking Bad,Breakage,2009-04-05,8.30,11018,12,2,tt1232252
51,1080,Breaking Bad,Down,2009-03-29,8.10,11378,11,2,tt1232251
52,1079,Breaking Bad,Bit by a Dead Bee,2009-03-22,8.30,11238,10,2,tt1232250
53,1078,Breaking Bad,Grilled,2009-03-15,9.20,13603,9,2,tt1232249
54,1077,Breaking Bad,Seven Thirty-Seven,2009-03-08,8.70,11532,8,2,tt1232244
55,1076,Breaking Bad,A No-Rough-Stuff-Type Deal,2008-03-09,8.80,12967,7,1,tt1054729
56,1075,Breaking Bad,Crazy Handful of Nothin',2008-03-02,9.20,14683,6,1,tt1054728
57,1074,Breaking Bad,Gray Matter,2008-02-24,8.30,12741,5,1,tt1054727
58,1073,Breaking Bad,Cancer Man,2008-02-17,8.20,13034,4,1,tt1054726
59,1072,Breaking Bad,...And the Bag's in the River,2008-02-10,8.70,13377,3,1,tt1054725
60,1071,Breaking Bad,Cat's in the Bag...,2008-01-27,8.70,13808,2,1,tt1054724
61,1070,Breaking Bad,Pilot,2008-01-20,8.90,19623,1,1,tt0959621
